INFO 2021-08-10 09:17:11,229 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /Users/jeonghwan-yong/Desktop/pratics/server_dev/todo/urls.py first seen with mtime 1628488227.7432485
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/yaml/resolver.py first seen with mtime 1628447788.772478
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/template/library.py first seen with mtime 1628446504.8842008
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/wsgiref/handlers.py first seen with mtime 1627394840.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/encodings/latin_1.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/migrations/utils.py first seen with mtime 1628446504.8587036
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/urllib3/fields.py first seen with mtime 1628160452.4201417
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/handlers/exception.py first seen with mtime 1628446504.8378003
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/email/_parseaddr.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/platform.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/urllib3/filepost.py first seen with mtime 1628160452.420295
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/coreapi/exceptions.py first seen with mtime 1628446330.9931629
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/xml/dom/__init__.py first seen with mtime 1627394842.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/lib-dynload/grp.cpython-37m-darwin.so first seen with mtime 1628156263.6544027
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/metadata.py first seen with mtime 1628391678.8498666
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1628446504.5305116
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/views/generic/base.py first seen with mtime 1628446504.900843
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/uu.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/auth/backends.py first seen with mtime 1628446504.4849226
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/xml/__init__.py first seen with mtime 1627394842.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/models/fields/mixins.py first seen with mtime 1628446504.864897
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1628446504.8283372
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/models/functions/__init__.py first seen with mtime 1628446504.8663037
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/template/loaders/app_directories.py first seen with mtime 1628446504.8861344
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1628446504.8330178
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/coreschema/utils.py first seen with mtime 1628446330.9824197
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/checks/async_checks.py first seen with mtime 1628446504.833635
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/utils/formatting.py first seen with mtime 1628391678.897847
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/auth/forms.py first seen with mtime 1628446504.4861317
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/http/request.py first seen with mtime 1628446504.8805006
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/email/_policybase.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/text.py first seen with mtime 1628446504.8964982
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/lib-dynload/zlib.cpython-37m-darwin.so first seen with mtime 1628156263.665631
